Name,Definition
accuracy,"Accuracy is an important factor in assessing the success of data mining. When applied to data, accuracy refers to the rate of correct values in the data. When applied to models, accuracy refers to the degree of fit between the model and the data. This measures how error-free the model’s predictions are. Since accuracy does not include cost information, it is possible for a less accurate model to be more cost-effective. Also see precision."
activation function,"A function used by a node in a neural net to transform input data from any domain of values into a finite range of values. The original idea was to approximate the way neurons fired, and the activation function took on the value 0 until the input became large and the value jumped to 1. The discontinuity of this 0-or-1 function caused mathematical problems, and sigmoid-shaped functions (e.g., the logistic function) are now used."
antecedent,"When an association between two variables is defined, the first item (or left-hand side) is called the antecedent. For example, in the relationship “When a prospector buys a pick, he buys a shovel 14% of the time,” “buys a pick” is the antecedent."
Application Programming Interface (API),The technical window/programming language interface through which users can access and obtain vast quantities of information (text/data/objects) in a machine- readable format.
associations,"An association algorithm creates rules that describe how often events have occurred together. For example, “When prospectors buy picks, they also buy shovels 14% of the time.” Such relationships are typically expressed with a confidence interval."
backpropagation,A training method used to calculate the weights in a neural net from the data.
bias,"In a neural network, bias refers to the constant terms in the model. (Note that bias has a different meaning to most data analysts.) Also see precision."
binning,"A data preparation activity that converts continuous data to discrete data by replacing a value from a continuous range with a bin identifier, where each bin represents a range of values. For example, age could be converted to bins such as 20 or under, 21-40, 41-65 and over 65."
bootstrapping,"Training data sets are created by re-sampling with replacement from the original training set, so data records may occur more than once. In other words, this method treats a sample as if it were the entire population. Usually, final estimates are obtained by taking the average of the estimates from each of the bootstrap test sets."
CART,"Classification And Regression Trees. CART is a method of splitting the independent variables into small groups and fitting a constant function to the small data sets. In categorical trees, the constant function is one that takes on a finite small set of values (e.g., Y or N, low or medium or high). In regression trees, the mean value of the response is fit to small connected data sets."
categorical data,"Categorical data fits into a small number of discrete categories (as opposed to continuous). Categorical data is either non-ordered (nominal) such as gender or city, or ordered (ordinal) such as high, medium, or low temperatures."
CHAID,An algorithm for fitting categorical trees. It relies on the chi-squared statistic to split the data into small connected data sets.
chi-squared,"A statistic that assesses how well a model fits the data. In data mining, it is most commonly used to find homogeneous subsets for fitting categorical trees as in CHAID."
classification,Refers to the data mining problem of attempting to predict the category of categorical data by building a model based on some predictor variables.
classification tree,A decision tree that places categorical variables into classes.
cleaning (cleansing),"Refers to a step in preparing data for a data mining activity. Obvious data errors are detected and corrected (e.g., improbable dates) and missing data is replaced."
clustering,"Clustering algorithms find groups of items that are similar. For example, clustering could be used by an insurance company to group customers according to income, age, types of policies purchased and prior claims experience. It divides a data set so that records with similar content are in the same group, and groups are as different as possible from each other. Since the categories are unspecified, this is sometimes referred to as unsupervised learning."
confidence,"Confidence of rule “B given A” is a measure of how much more likely it is that B occurs when A has occurred. It is expressed as a percentage, with 100% meaning B always occurs if A has occurred. Statisticians refer to this as the conditional probability of B given A. When used with association rules, the term confidence is observational rather than predictive. (Statisticians also use this term in an unrelated way. There are ways to estimate an interval and the probability that the interval contains the true value of a parameter is called the interval confidence. So a 95% confidence interval for the mean has a probability of .95 of covering the true value of the mean.)"
confusion matrix,"A confusion matrix shows the counts of the actual versus predicted class values. It shows not only how well the model predicts, but also presents the details needed to see exactly where things may have gone wrong."
consequent,"When an association between two variables is defined, the second item (or right-hand side) is called the consequent. For example, in the relationship “When a prospector buys a pick, he buys a shovel 14% of the time,” “buys a shovel” is the consequent."
continuous,"Continuous data can have any value in an interval of real numbers. That is, the value does not have to be an integer. Continuous is the opposite of discrete or categorical.nbsp;"
Corpus,"A (text) corpus is a collection of documents, e.g. web pages, journal articles."
Crawling,"It is an automatic method to find and follow links within a website, in order to scrape the information."
